Observed cones colored
YELLOW | x:10.998224881298828 y:14.75722654121582
YELLOW | x:5.995003687349446 y:4.8886609023557535
YELLOW | x:9.25621516208598 y:8.000914353703104

BLUE | x:-2.6369444340393065 y:3.7800802971667475
BLUE | x:-15.13180161813151 y:10.325608168616537
BLUE | x:-12.045088485727364 y:10.253907482116349
BLUE | x:-13.711332651965332 y:10.391517045671385
BLUE | x:-9.790523144595337 y:9.974326684648437
BLUE | x:-2.712141026052348 y:5.625161833141886
BLUE | x:-3.7756078755157834 y:8.027918204751897
BLUE | x:-5.251652569564692 y:9.062977072836269
BLUE | x:-3.098713728778076 y:6.959170892412109
YELLOW | x:2.270217763391622 y:3.0642884352882467
YELLOW | x:-11.605224145444742 y:15.096789593075359
YELLOW | x:-9.717756602160645 y:14.971290185625
YELLOW | x:-7.670698377482605 y:14.75800116317932
YELLOW | x:0.40225428977668776 y:10.862136000449622
YELLOW | x:1.2918407936965306 y:9.465043704948137
YELLOW | x:2.3038296014144897 y:4.861879315549773
YELLOW | x:-1.4932189218349599 y:12.422427262108831
YELLOW | x:1.7388954521955595 y:8.047463478239564
